catalog_row,A,B,C,D,E,F,pathname,selected
119,BUR-AFY-BAS-HIRKAKOY,ACIGOL,DEBI,01May2025,30Minute,Q500,/BUR-AFY-BAS-HIRKAKOY/ACIGOL/DEBI/01May2025/30Minute/Q500/,False
120,BUR-AFY-BAS-HIRKAKOY-T,ACIGOL,DEBI,01May2025,30Minute,Q10,/BUR-AFY-BAS-HIRKAKOY-T/ACIGOL/DEBI/01May2025/30Minute/Q10/,False
121,BUR-AFY-BAS-HIRKAKOY-T,ACIGOL,DEBI,01May2025,30Minute,Q100,/BUR-AFY-BAS-HIRKAKOY-T/ACIGOL/DEBI/01May2025/30Minute/Q100/,False
122,BUR-AFY-BAS-HIRKAKOY-T,ACIGOL,DEBI,01May2025,30Minute,Q1000,/BUR-AFY-BAS-HIRKAKOY-T/ACIGOL/DEBI/01May2025/30Minute/Q1000/,False
123,BUR-AFY-BAS-HIRKAKOY-T,ACIGOL,DEBI,01May2025,30Minute,Q2,/BUR-AFY-BAS-HIRKAKOY-T/ACIGOL/DEBI/01May2025/30Minute/Q2/,False
124,BUR-AFY-BAS-HIRKAKOY-T,ACIGOL,DEBI,01May2025,30Minute,Q25,/BUR-AFY-BAS-HIRKAKOY-T/ACIGOL/DEBI/01May2025/30Minute/Q25/,False
125,BUR-AFY-BAS-HIRKAKOY-T,ACIGOL,DEBI,01May2025,30Minute,Q5,/BUR-AFY-BAS-HIRKAKOY-T/ACIGOL/DEBI/01May2025/30Minute/Q5/,False
126,BUR-AFY-BAS-HIRKAKOY-T,ACIGOL,DEBI,01May2025,30Minute,Q50,/BUR-AFY-BAS-HIRKAKOY-T/ACIGOL/DEBI/01May2025/30Minute/Q50/,False
127,BUR-AFY-BAS-HIRKAKOY-T,ACIGOL,DEBI,01May2025,30Minute,Q500,/BUR-AFY-BAS-HIRKAKOY-T/ACIGOL/DEBI/01May2025/30Minute/Q500/,False
128,BUR-AFY-BAS-OVACIK,ACIGOL,DEBI,01May2025,30Minute,Q10,/BUR-AFY-BAS-OVACIK/ACIGOL/DEBI/01May2025/30Minute/Q10/,False
129,BUR-AFY-BAS-OVACIK,ACIGOL,DEBI,01May2025,30Minute,Q100,/BUR-AFY-BAS-OVACIK/ACIGOL/DEBI/01May2025/30Minute/Q100/,False
130,BUR-AFY-BAS-OVACIK,ACIGOL,DEBI,01May2025,30Minute,Q1000,/BUR-AFY-BAS-OVACIK/ACIGOL/DEBI/01May2025/30Minute/Q1000/,False
131,BUR-AFY-BAS-OVACIK,ACIGOL,DEBI,01May2025,30Minute,Q2,/BUR-AFY-BAS-OVACIK/ACIGOL/DEBI/01May2025/30Minute/Q2/,False
132,BUR-AFY-BAS-OVACIK,ACIGOL,DEBI,01May2025,30Minute,Q25,/BUR-AFY-BAS-OVACIK/ACIGOL/DEBI/01May2025/30Minute/Q25/,False
133,BUR-AFY-BAS-OVACIK,ACIGOL,DEBI,01May2025,30Minute,Q5,/BUR-AFY-BAS-OVACIK/ACIGOL/DEBI/01May2025/30Minute/Q5/,False
134,BUR-AFY-BAS-OVACIK,ACIGOL,DEBI,01May2025,30Minute,Q50,/BUR-AFY-BAS-OVACIK/ACIGOL/DEBI/01May2025/30Minute/Q50/,False
135,BUR-AFY-BAS-OVACIK,ACIGOL,DEBI,01May2025,30Minute,Q500,/BUR-AFY-BAS-OVACIK/ACIGOL/DEBI/01May2025/30Minute/Q500/,False
136,BUR-AFY-BAS-SARIKOY1,ACIGOL,DEBI,01May2025,30Minute,Q10,/BUR-AFY-BAS-SARIKOY1/ACIGOL/DEBI/01May2025/30Minute/Q10/,False
137,BUR-AFY-BAS-SARIKOY1,ACIGOL,DEBI,01May2025,30Minute,Q100,/BUR-AFY-BAS-SARIKOY1/ACIGOL/DEBI/01May2025/30Minute/Q100/,False
138,BUR-AFY-BAS-SARIKOY1,ACIGOL,DEBI,01May2025,30Minute,Q1000,/BUR-AFY-BAS-SARIKOY1/ACIGOL/DEBI/01May2025/30Minute/Q1000/,False
