SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type
332,616285.761,3097627.833,5.2,0,632.397,Normal
333,616285.287,3097626.953,5.2,0,632.3965,Normal
334,616284.813,3097626.072,5.2,0,632.396,Normal
335,616284.338,3097625.192,5.2,0,632.3955,Normal
336,616283.864,3097624.312,5.2,0,632.395,Normal
337,616283.39,3097623.431,5.2,0,632.3945,Normal
338,616282.916,3097622.551,5.2,0,632.394,Normal
339,616282.442,3097621.67,5.2,0,632.3935,Normal
340,616281.967,3097620.79,5.2,0,632.393,Normal
341,616281.493,3097619.91,5.2,0,632.3925,Normal
342,616281.019,3097619.029,5.2,0,632.392,Normal
343,616280.545,3097618.149,5.2,0,632.3915,Normal
344,616280.07,3097617.268,5.2,0,632.391,Normal
345,616279.596,3097616.388,5.2,0,632.3905,Normal
346,616279.122,3097615.508,5.2,0,632.39,Normal
347,616278.648,3097614.627,5.2,0,632.3895,Normal
348,616278.173,3097613.747,5.2,0,632.389,Normal
349,616277.699,3097612.866,5.2,0,632.3885,Normal
350,616277.225,3097611.986,5.2,0,632.388,Normal
351,616276.751,3097611.106,5.2,0,632.3875,Normal
352,616276.277,3097610.225,5.2,0,632.387,Normal
353,616275.802,3097609.345,5.2,0,632.3865,Normal
354,616275.328,3097608.464,5.2,0,632.386,Normal
355,616274.854,3097607.584,5.2,0,632.3855,Normal
356,616274.38,3097606.704,5.2,0,632.385,Normal
357,616273.905,3097605.823,5.2,0,632.3845,Normal
358,616273.431,3097604.943,5.2,0,632.384,Normal
359,616272.957,3097604.062,5.2,0,632.3835,Normal
360,616272.483,3097603.182,5.2,0,632.383,Normal
361,616272.008,3097602.302,5.2,0,632.3825,Normal
362,616271.534,3097601.421,5.2,0,632.382,Normal
363,616271.06,3097600.541,5.2,0,632.3815,Normal
364,616270.586,3097599.66,5.2,0,632.381,Normal
365,616270.112,3097598.78,5.2,0,632.3805,Normal
366,616269.637,3097597.9,5.2,0,632.38,Normal
367,616269.163,3097597.019,5.2,0,632.3795,Normal
368,616268.689,3097596.139,5.2,0,632.379,Normal
369,616268.215,3097595.258,5.2,0,632.3785,Normal
370,616267.74,3097594.378,5.2,0,632.378,Normal
371,616267.266,3097593.498,5.2,0,632.3775,Normal
372,616266.792,3097592.617,5.2,0,632.377,Normal
373,616266.318,3097591.737,5.2,0,632.3765,Normal
374,616265.843,3097590.856,5.2,0,632.376,Normal
375,616265.369,3097589.976,5.2,0,632.3755,Normal
376,616264.895,3097589.096,5.2,0,632.375,Normal
377,616264.421,3097588.215,5.2,0,632.3745,Normal
378,616263.947,3097587.335,5.2,0,632.374,Normal
379,616263.472,3097586.454,5.2,0,632.3735,Normal
380,616262.998,3097585.574,5.2,0,632.373,Normal
381,616262.524,3097584.694,5.2,0,632.3725,Normal
382,616262.05,3097583.813,5.2,0,632.372,Normal
383,616261.575,3097582.933,5.2,0,632.3715,Normal
384,616261.101,3097582.052,5.2,0,632.371,Normal
385,616260.627,3097581.172,5.2,0,632.3705,Normal
386,616260.153,3097580.292,5.2,0,632.37,Normal
387,616259.678,3097579.411,5.2,0,632.3695,Normal
388,616259.204,3097578.531,5.2,0,632.369,Normal
389,616258.73,3097577.65,5.2,0,632.3685,Normal
390,616258.256,3097576.77,5.2,0,632.368,Normal
391,616257.782,3097575.89,5.2,0,632.3675,Normal
392,616257.307,3097575.009,5.2,0,632.367,Normal
393,616256.833,3097574.129,5.2,0,632.3665,Normal
394,616256.359,3097573.248,5.2,0,632.366,Normal
395,616255.885,3097572.368,5.2,0,632.3655,Normal
396,616255.41,3097571.488,5.2,0,632.365,Normal
397,616254.936,3097570.607,5.2,0,632.3645,Normal
398,616254.462,3097569.727,5.2,0,632.364,Normal
399,616253.988,3097568.846,5.2,0,632.3635,Normal
400,616253.513,3097567.966,5.2,0,632.363,Normal
401,616253.039,3097567.086,5.2,0,632.3625,Normal
402,616252.565,3097566.205,5.2,0,632.362,Normal
403,616252.091,3097565.325,5.2,0,632.3615,Normal
404,616251.616,3097564.444,5.2,0,632.361,Normal
405,616251.142,3097563.564,5.2,0,632.3605,Normal
406,616250.668,3097562.684,5.2,0,632.36,Normal
407,616250.194,3097561.803,5.2,0,632.3595,Normal
408,616249.72,3097560.923,5.2,0,632.359,Normal
409,616249.245,3097560.042,5.2,0,632.3585,Normal
410,616248.771,3097559.162,5.2,0,632.358,Normal
411,616248.297,3097558.282,5.2,0,632.3575,Normal
412,616247.823,3097557.401,5.2,0,632.357,Normal
413,616247.348,3097556.521,5.2,0,632.3565,Normal
414,616246.874,3097555.64,5.2,0,632.356,Normal
415,616246.4,3097554.76,5.2,0,632.3555,Normal
416,616245.926,3097553.88,5.2,0,632.355,Normal
417,616245.451,3097552.999,5.2,0,632.3545,Normal
418,616244.977,3097552.119,5.2,0,632.354,Normal
419,616244.503,3097551.238,5.2,0,632.3535,Normal
420,616244.029,3097550.358,5.2,0,632.353,Normal
421,616243.555,3097549.478,5.2,0,632.3525,Normal
422,616243.08,3097548.597,5.2,0,632.352,Normal
423,616242.606,3097547.717,5.2,0,632.3515,Normal
424,616242.132,3097546.836,5.2,0,632.351,Normal
425,616241.658,3097545.956,5.2,0,632.3505,Normal
426,616241.183,3097545.076,5.2,0,632.35,Normal
427,616240.709,3097544.195,5.2,0,632.3495,Normal
428,616240.235,3097543.315,5.2,0,632.349,Normal
429,616239.761,3097542.434,5.2,0,632.3485,Normal
430,616239.286,3097541.554,5.2,0,632.348,Normal
431,616238.812,3097540.674,5.2,0,632.3475,Normal
432,616238.338,3097539.793,5.2,0,632.347,Normal
433,616237.864,3097538.913,5.2,0,632.3465,Normal
434,616237.39,3097538.032,5.2,0,632.346,Normal
435,616236.915,3097537.152,5.2,0,632.3455,Normal
436,616236.441,3097536.272,5.2,0,632.345,Normal
437,616235.967,3097535.391,5.2,0,632.3445,Normal
438,616235.493,3097534.511,5.2,0,632.344,Normal
439,616235.018,3097533.63,5.2,0,632.3435,Normal
440,616234.544,3097532.75,5.2,0,632.343,Normal
441,616234.07,3097531.87,5.2,0,632.3425,Normal
442,616233.596,3097530.989,5.2,0,632.342,Normal
443,616233.121,3097530.109,5.2,0,632.3415,Normal
444,616232.647,3097529.228,5.2,0,632.341,Normal
445,616232.173,3097528.348,5.2,0,632.3405,Normal
446,616231.699,3097527.468,5.2,0,632.34,Normal
447,616231.225,3097526.587,5.2,0,632.3395,Normal
448,616230.75,3097525.707,5.2,0,632.339,Normal
449,616230.276,3097524.826,5.2,0,632.3385,Normal
450,616229.802,3097523.946,5.2,0,632.338,Normal
451,616229.328,3097523.066,5.2,0,632.3375,Normal
452,616228.853,3097522.185,5.2,0,632.337,Normal
453,616228.379,3097521.305,5.2,0,632.3365,Normal
454,616227.905,3097520.424,5.2,0,632.336,Normal
455,616227.431,3097519.544,5.2,0,632.3355,Normal
456,616226.956,3097518.664,5.2,0,632.335,Normal
457,616226.482,3097517.783,5.2,0,632.3345,Normal
